x_m,true_rockhead_depth_m,mean_integrated_depth_m,median_integrated_depth_m,standard_deviation_m,lower_95_depth_m,upper_95_depth_m,uncertainty_width_m,true_inside_95_interval
1.0,18.358557254182134,21.21607933193419,20.52492501703992,3.465308989844431,16.636335313162633,27.441754549811996,10.805419236649364,True
3.0,19.06414743012319,21.640362800897446,21.08473376603502,2.800540006588707,18.007675210286443,26.71055431378784,8.702879103501395,True
5.0,19.735535076926123,21.96267897013989,21.56068102450847,2.219133422348565,19.15151446869852,26.02385566441676,6.872341195718242,True
7.0,20.351141305268317,22.18929779921062,21.90709491228241,1.7164286079861155,19.956261249458535,25.35995763431042,5.403696384851884,True
9.0,20.891180166138327,22.32648924765869,22.039445646291284,1.2880896275243194,20.69830961944899,24.682668834571604,3.9843592151226126,True
11.0,21.33829468142132,22.380523275033184,22.15072155877038,0.9304667069842375,21.152691580917352,24.044788198905763,2.892096617988411,True
13.0,21.67811490600318,22.357669840883187,22.18801927181803,0.6415048699369522,21.420328830480482,23.444974272431796,2.0246454419513142,True
15.0,21.899720181235654,22.264198904757773,22.213075557038863,0.42314038022320094,21.541527403398103,22.94416094630341,1.4026335429053063,True
17.0,21.995990899431117,22.10638042620601,22.159958135032955,0.2860558611004439,21.422559185287398,22.518771316378345,1.0962121310909474,True
19.0,21.963838786542524,21.890484364776952,21.87657471564825,0.24235327351597624,21.405091226623124,22.295981743164056,0.8908905165409315,True
21.0,21.804308835764463,21.62278068001864,21.60184039443753,0.26262273987859563,21.28929248414139,22.085470625011173,0.796178140869781,True
23.0,21.522550492033083,21.30953933145487,21.29380939861688,0.2959037547185107,20.88887108776318,21.856201351465625,0.9673302637024435,True
25.0,21.12766039159257,20.957030278014564,20.955635329672567,0.31835677858654693,20.4774863705709,21.547268269156497,1.069781898585596,True
27.0,20.632403781506348,20.571523464032712,20.607085132383343,0.32487612200369553,20.045287261579123,21.175560846606427,1.1302735850273038,True
