lambda,inversion_success,travel_time_rmse_ms,data_residual_norm_ms,roughness_norm_ms_per_m,velocity_rmse_m_s,mean_absolute_velocity_error_m_s,minimum_estimated_velocity_m_s,maximum_estimated_velocity_m_s
0.1,True,0.004344804823969038,0.06082726753556652,7.540618000244227,347.8641429895747,166.2039991664185,469.2399506709632,3999.999999999999
0.3,True,0.03575879547724969,0.5006231366814956,7.194631091941069,338.4527220576032,160.84818303983477,478.03708431243933,3999.999999999999
1.0,True,0.22276889231615876,3.1187644924262226,5.445497961654753,290.5711388623302,131.2479221351617,524.575363631023,3999.999999999999
3.0,True,0.5846407729700458,8.184970821580642,3.3938314437178305,252.1750173976884,100.8278197085847,585.5716900135459,3999.999999999999
10.0,True,1.2215453663065732,17.101635128292028,2.1677413225447237,339.9473518990591,139.83461530428417,585.6047851242338,2817.021046865071
30.0,True,2.778820100772527,38.90348141081539,1.375850703077219,545.2447203249218,256.7476942779338,578.3479945286003,1666.1169867133804
100.0,True,8.49135682047397,118.8789954866356,0.4637349648234039,697.4587856939249,375.40835944205924,691.6114074457314,1006.9076775006644
