x_m,true_rockhead_depth_m,estimated_rockhead_depth_m,rockhead_error_m,valid_estimate
1.0,18.358557254182134,,,False
3.0,19.06414743012319,,,False
5.0,19.735535076926123,,,False
7.0,20.351141305268317,,,False
9.0,20.891180166138327,,,False
11.0,21.33829468142132,6.0,-15.33829468142132,True
13.0,21.67811490600318,6.0,-15.67811490600318,True
15.0,21.899720181235654,7.0,-14.899720181235654,True
17.0,21.995990899431117,7.0,-14.995990899431117,True
19.0,21.963838786542524,7.0,-14.963838786542524,True
21.0,21.804308835764463,6.0,-15.804308835764463,True
23.0,21.522550492033083,15.0,-6.5225504920330835,True
25.0,21.12766039159257,15.0,-6.1276603915925705,True
27.0,20.632403781506348,17.0,-3.6324037815063477,True
29.0,20.05282652936592,19.0,-1.0528265293659196,True
31.0,19.407774175450605,20.0,0.592225824549395,True
33.0,18.71833848294747,20.0,1.2816615170525303,True
35.0,18.00725499525886,20.0,1.9927450047411384,True
37.0,17.298276675113666,20.0,2.701723324886334,True
39.0,16.615548144783872,18.0,1.3844518552161276,True
41.0,15.983001739194274,17.0,1.0169982608057264,True
43.0,15.423790078932361,18.0,2.5762099210676386,True
45.0,14.95976017439396,19.0,4.04023982560604,True
47.0,14.610961950065485,20.0,5.3890380499345145,True
49.0,14.395171311283834,17.0,2.6048286887161662,True
51.0,14.327397344639444,18.0,3.6726026553605564,True
53.0,14.419338681414178,19.0,4.580661318585822,True
55.0,14.678759375543535,20.0,5.321240624456465,True
57.0,15.108772849203033,19.0,3.8912271507969667,True
59.0,15.707054264560615,18.0,2.2929457354393854,True
61.0,16.465044296511614,18.0,1.5349557034883858,True
63.0,17.36725374941495,19.0,1.6327462505850505,True
65.0,18.39081808815712,20.0,1.6091819118428816,True
67.0,19.505471104249988,22.0,2.494528895750012,True
69.0,20.67409606294943,24.0,3.325903937050569,True
71.0,21.85396397616184,24.0,2.1460360238381604,True
73.0,22.99868331632552,24.0,1.0013166836744816,True
75.0,24.060774385794563,23.0,-1.0607743857945628,True
77.0,24.99466433426615,21.0,-3.994664334266151,True
79.0,25.75980025433455,10.0,-15.75980025433455,True
81.0,26.323521976899315,15.0,-11.323521976899315,True
83.0,26.663340052219908,17.0,-9.663340052219908,True
85.0,26.76833244775228,16.0,-10.768332447752279,True
87.0,26.639495591261515,16.0,-10.639495591261515,True
89.0,26.28903847639607,11.0,-15.289038476396069,True
91.0,25.738761999239433,11.0,-14.738761999239433,True
93.0,25.017788867975057,12.0,-13.017788867975057,True
95.0,24.15997922843529,14.0,-10.15997922843529,True
97.0,23.201373390275542,13.0,-10.201373390275542,True
99.0,22.177950154250976,6.0,-16.177950154250976,True
101.0,21.123894054910217,6.0,-15.123894054910217,True
103.0,20.070451331015732,,,False
105.0,19.045347279445824,7.0,-12.045347279445824,True
107.0,18.07265636021429,6.0,-12.072656360214289,True
109.0,17.17297172794546,6.0,-11.172971727945459,True
111.0,16.363713837955814,,,False
113.0,15.659441487952332,,,False
115.0,15.07207144659233,,,False
117.0,14.610961950065485,,,False
119.0,14.282860039085463,,,False
