realization_id,random_seed,inversion_success,travel_time_rmse_ms,geophysical_coverage_percent,mean_error_m,mae_m,rmse_m,maximum_absolute_error_m
1,1179671793,True,0.6196097588489236,35.0,-0.5700738091217339,0.8249629682617241,1.3323845947942632,3.3901898218922675
2,149446239,True,0.6737214482640683,35.0,-0.5725635035913731,1.161596837321926,1.6886309620714497,3.744933659577928
3,191619140,True,0.563035638749923,33.33333333333333,-0.7646932080870515,0.9388058036436198,1.350705804026221,3.4101590207253576
4,1762292944,True,0.5973603586405218,33.33333333333333,-0.6675662296335683,0.903157213096027,1.4868809299000514,3.869756030752921
5,1201950498,True,0.5826134722550322,35.0,0.12839159584032078,1.6024954324138003,2.4908781725365534,9.349460702020089
6,887922641,True,0.6592018461217717,35.0,4.253648093112498e-05,1.5886879175339044,2.42100682233815,8.746507698071259
7,1144192869,True,0.5906540576789572,35.0,-0.7050784894827058,1.091521868061267,1.654939518717058,6.12343840875381
8,1495234392,True,0.5833776999072278,33.33333333333333,-0.5789997253121774,0.8677317308216288,1.4160175792144833,3.5943861402720074
9,1292072046,True,0.6304364044412661,35.0,-0.19349706961435356,1.2359775285470458,1.8518029883382512,4.975516203817548
10,962035347,True,0.620313341460127,33.33333333333333,-0.3370995784497071,1.08980305003134,1.6230603728075907,3.7042175597499885
11,287309816,True,0.5999241495980744,35.0,-0.5728967445117625,1.0179405640444052,1.4785049556778747,3.7212370152424548
12,1723615449,True,0.5733210323987052,35.0,-0.484871333184845,0.9675250471750032,1.491897954526821,3.840041794504522
13,203749768,True,0.6777596791532525,35.0,-0.6068243678447343,0.9402973518532718,1.5131442413034337,3.9166475940700103
14,1914534191,True,0.5878898081145645,35.0,0.16847567677327005,1.6428478112256992,2.5103157327521575,9.088703886766083
15,555756108,True,0.5792951685816754,35.0,-0.5610348229282077,1.2611570464953006,1.747761190215842,4.2526512286077605
16,1776516583,True,0.6047948008550635,35.0,-0.9069149509086467,0.9873278658292234,1.5107966050277621,3.6975413679080837
17,1800631359,True,0.6475175658218995,33.33333333333333,-0.4717732352670011,0.9103971079598551,1.403470726555485,3.66927538337281
18,1687711,True,0.6573968159608793,35.0,-0.28279302139140383,0.9584729356088169,1.4232506574545123,3.815953206881556
19,109607711,True,0.5913876828384642,31.666666666666664,-0.5388047513952733,1.2403583743810698,1.901079925359021,4.8315885766632505
